level,town,name,Total population_2018,Population under age 18_2018,Percent under age 18_2018,Population ages 18+_2018,Percent ages 18+_2018,Population ages 65+_2018,Percent ages 65+_2018,Latino population_2018,Percent Latino_2018,White population_2018,Percent white_2018,Black population_2018,Percent black_2018,Other race population_2018,Percent other race_2018,Foreign-born population_2018,Percent foreign-born_2018,Total households_2018,Owner-occupied households_2018,Homeownership rate_2018,Cost-burdened households_2018,Cost-burden rate_2018,Poverty status known_2018,Population in poverty_2018,Poverty rate_2018,Low-income population_2018,Low-income rate_2018,"Under 18, poverty status known_2018",Children in poverty_2018,Child poverty rate_2018,Low-income children_2018,Child low-income rate_2018,"Ages 65+, poverty status known_2018",Seniors in poverty_2018,Senior poverty rate_2018,Low-income seniors_2018,Senior low-income rate_2018,Life expectancy in years_2010-2015,Annual checkup rate (adults)_2017,Annual dental visit rate (adults)_2016,"Ages 18-64, no health insurance_2017",Current smoking rate (adults)_2017,Percent adults sleeping under 7 hours daily_2016,Percent adults with coronary heart disease_2017,Current asthma rate (adults)_2017,Diabetes rate (adults)_2017,Percent adults with high blood pressure_2017
state,NA,Connecticut,3581504,752625,0.21,2828879,0.79,587580,0.16,561791,0.16,2418696,0.68,351817,0.1,249200,0.07,513646,0.14,1367374,907134,0.66,484571,0.36,3474901,348449,0.1,796272,0.23,743194,100097,0.13,222157,0.3,566635,41393,0.07,124153,0.22,80.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
town,NA,Hartford,123628,29438,0.24,94190,0.76,13258,0.11,55074,0.45,18261,0.15,42843,0.35,7450,0.06,26593,0.22,45879,10933,0.24,23091,0.52,117129,35241,0.3,65444,0.56,29093,11761,0.4,21047,0.72,12826,3211,0.25,6723,0.52,77.1,0.74,0.61,0.2,0.19,0.41,0.06,0.12,0.13,0.34
town,NA,West Hartford,63127,14262,0.23,48865,0.77,11311,0.18,6830,0.11,46277,0.73,3647,0.06,6373,0.1,10513,0.17,24491,17544,0.72,7272,0.3,61486,4600,0.07,10279,0.17,14097,1393,0.1,2869,0.2,10691,858,0.08,2148,0.2,82.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhood,Hartford,Asylum Hill,10005,2080,0.21,7925,0.79,993,0.1,2661,0.27,1277,0.13,4802,0.48,1265,0.13,2402,0.24,5133,681,0.13,2456,0.51,9862,2783,0.28,5622,0.57,2062,724,0.35,1670,0.81,993,265,0.27,569,0.57,79.3,0.76,0.65,0.18,0.19,0.42,0.05,0.12,0.12,0.34
neighborhood,Hartford,Barry Square,15702,3414,0.22,12288,0.78,1186,0.08,9345,0.6,2549,0.16,2629,0.17,1179,0.08,3633,0.23,4942,883,0.18,2991,0.62,13649,4435,0.32,8612,0.63,3354,1348,0.4,2470,0.74,1184,319,0.27,578,0.49,77.8,0.71,0.56,0.24,0.2,0.4,0.05,0.12,0.12,0.29
neighborhood,Hartford,Behind the Rocks,8298,2039,0.25,6259,0.75,817,0.1,5305,0.64,875,0.11,1690,0.2,428,0.05,1636,0.2,2900,892,0.31,1457,0.53,8213,2440,0.3,4907,0.6,2029,771,0.38,1521,0.75,759,215,0.28,363,0.48,77.9,0.73,0.56,0.26,0.2,0.41,0.06,0.11,0.15,0.33
neighborhood,Hartford,Blue Hills,10665,1594,0.15,9071,0.85,1578,0.15,756,0.07,1948,0.18,7640,0.72,321,0.03,2928,0.27,3008,1869,0.62,1260,0.43,8139,997,0.12,3141,0.39,1542,348,0.23,935,0.61,1578,158,0.1,551,0.35,77.2,0.79,0.69,0.13,0.16,0.41,0.05,0.13,0.12,0.35
neighborhood,Hartford,Clay Arsenal,7287,2718,0.37,4569,0.63,493,0.07,4447,0.61,127,0.02,2575,0.35,138,0.02,700,0.1,2415,245,0.1,1362,0.58,7274,3118,0.43,5666,0.78,2705,1416,0.52,2373,0.88,493,190,0.39,379,0.77,74.8,0.75,0.49,0.26,0.24,0.45,0.07,0.13,0.17,0.38
neighborhood,Hartford,Downtown,2322,95,0.04,2227,0.96,209,0.09,328,0.14,1204,0.52,352,0.15,438,0.19,580,0.25,1577,243,0.15,531,0.35,2289,356,0.16,489,0.21,94,28,0.3,43,0.46,209,1,0,18,0.09,81.2,0.71,0.83,0.07,0.1,0.33,0.03,0.09,0.05,0.2
neighborhood,Hartford,Frog Hollow,8393,2316,0.28,6077,0.72,744,0.09,5506,0.66,868,0.1,1794,0.21,225,0.03,1177,0.14,3180,231,0.07,1535,0.51,8324,2851,0.34,4932,0.59,2297,954,0.42,1686,0.73,744,326,0.44,569,0.76,75.9,0.71,0.51,0.28,0.21,0.41,0.06,0.11,0.14,0.32
